treino A,repetições A,treino B,repetições B,treino C,repetições C,treino D,repetições D
Rosca direta x a nt-inv,5x15,agachamento,20x18x16x14x12,fex_inferior,5x15,stiff,5x15
rosca inv x ant,5x15,abdômen x agachamento,5x12,peito sup,5x15,gluteos banco,5x15
rosca banco,5x15,panturrilha,5x12,costas baixo  ,5x15,,5x15
biceps baix,5x15,abdominal,5x12,polia peito,5x15,flexão,5x15
triceps testa,5x15,agachamento afundo,5x12,costa banco,5x15,elevação lateral,5x15
triceps p,5x15,,,,,,
triceps sent,5x15,,,,,,
ombro frontalx mbr ,5x15,,,,,,
desenvolvimento,5x15,,,,,,
